state,city,avg_rating,rating_variance,avg_price,n_restaurants,avg_review_count
MO,O'Fallon,4.083,0.23820201005025143,1.9109589041095891,200,145.88
MO,Springfield,4.164,0.18050653266331698,1.702127659574468,200,136.335
MO,St. Charles,4.1964999999999995,0.21320376884422104,1.9805194805194806,200,214.34
MO,St. Joseph,2.8735000000000004,2.325173618090454,1.4077669902912622,200,24.755
MO,St. Louis,4.383500000000001,0.08600778894472369,2.1055900621118013,200,471.975
MS,Biloxi,4.04,0.2423115577889449,1.979020979020979,200,157.2
MS,Greenville,2.8249999999999997,2.4621153846153847,1.3783783783783783,92,13.380434782608695
MS,Gulfport,4.104,0.24983316582914575,1.8676470588235294,200,147.77
MS,Hattiesburg,3.685,0.7967587939698504,1.507936507936508,200,48.87
MS,Jackson,4.1405,0.23588919597989974,1.7777777777777777,200,101.72
MS,Meridian,2.809090909090909,2.2626632522407153,1.425,143,32.69230769230769
MS,Olive Branch,3.944,0.3364462311557789,1.88,200,175.665
MS,Pearl,4.01,0.3227135678391962,1.7857142857142858,200,108.76
MS,Southaven,3.4675,1.0275314070351755,1.588785046728972,200,63.41
MS,Tupelo,3.2235,1.7839173366834145,1.4857142857142858,200,34.635
MT,Anaconda,4.119,0.21672261306532717,1.9044117647058822,200,107.96
MT,Billings,3.7119999999999997,0.5967396984924612,1.6470588235294117,200,67.545
MT,Bozeman,3.84,0.7377889447236178,1.7477477477477477,200,128.665
MT,Butte,2.9857142857142858,2.128126984126985,1.4285714285714286,91,52.13186813186813
MT,Great Falls,2.7134831460674156,2.2515685901098204,1.4166666666666667,178,40.674157303370784
MT,Havre,3.1818181818181817,2.4921590909090905,1.4375,33,17.545454545454547
MT,Helena,3.037313432835821,2.044762652900911,1.5526315789473684,134,56.83582089552239
MT,Kalispell,3.1558620689655172,2.2095660919540223,1.4794520547945205,145,60.93793103448276
MT,Miles City,2.8325,3.104814102564101,1.3333333333333333,40,20.55
MT,Missoula,3.7769999999999997,0.6151467336683413,1.5806451612903225,200,90.665
NC,Asheville,4.247,0.10913668341708546,2.0,200,397.955
NC,Cary,4.196000000000001,0.1269185929648244,2.027027027027027,200,294.725
NC,Charlotte,4.231,0.08767738693467328,2.182926829268293,200,494.01
NC,Durham,4.2005,0.13160778894472355,1.912751677852349,200,267.13
NC,Fayetteville,3.9825,0.36908919597989875,1.6985294117647058,200,134.08
NC,Greensboro,4.21,0.18974874371859274,1.9567901234567902,200,222.515
NC,High Point,4.14,0.234371859296483,1.79874213836478,200,171.085
NC,Raleigh,4.256,0.09493869346733656,2.068027210884354,200,356.795
NC,Wilmington,4.2385,0.1318268844221108,1.966887417218543,200,239.815
NC,Winston-Salem,4.09,0.18532663316582865,1.8711656441717792,200,166.795
ND,Bismarck,3.0255,1.7723615577889438,1.6,200,34.21
ND,Dickinson,2.4368421052631577,3.21782456140351,1.5526315789473684,76,27.105263157894736
ND,Fargo,3.9185000000000003,0.38342487437185974,1.795275590551181,200,68.445
ND,Grand Forks,2.4339181286549705,2.436725146198831,1.5698924731182795,171,26.350877192982455
ND,Jamestown,2.533333333333333,2.6759649122807008,1.55,39,17.641025641025642
ND,Mandan,3.112,1.6698050251256282,1.6055045871559632,200,34.315
ND,Minot,2.7869918699186993,2.3068785819005746,1.4461538461538461,123,30.089430894308943
ND,Wahpeton,2.7043478260869565,2.387707509881423,1.4285714285714286,23,12.130434782608695
ND,West Fargo,3.8169999999999997,0.48795075376884356,1.7727272727272727,200,69.41
ND,Williston,2.8383561643835615,2.330730593607307,1.5625,73,24.17808219178082
NE,Bellevue,4.1975,0.14697864321608034,1.980891719745223,200,212.305
NE,Columbus,2.5658536585365854,2.6565974104185472,1.1944444444444444,82,9.707317073170731
NE,Fremont,2.772727272727273,2.449146567717997,1.25,99,17.636363636363637
NE,Grand Island,2.6023668639053255,2.735946745562131,1.3703703703703705,169,16.68639053254438
NE,Hastings,2.532558139534884,3.3455157318741437,1.4166666666666667,86,11.232558139534884
NE,Kearney,2.8504,2.400584516129032,1.4,125,28.528
NE,Lincoln,4.08,0.2955778894472361,1.6825396825396826,200,99.67
NE,Norfolk,2.535365853658537,2.7936720867208695,1.4324324324324325,82,14.048780487804878
NE,North Platte,2.755128205128205,2.085362970362971,1.3658536585365855,78,37.256410256410255
NE,Omaha,4.2745,0.10070326633165848,2.0193548387096776,200,238.64
NH,Claremont,3.012621359223301,2.5636626689510753,1.5384615384615385,103,28.92233009708738
NH,Concord,2.846242774566474,2.579360801182956,1.553191489361702,173,64.42774566473989
NH,Dover,3.3823232323232326,1.9220717325539665,1.588785046728972,198,51.40909090909091
NH,Keene,3.247560975609756,2.0943766937669372,1.4782608695652173,82,53.28048780487805
NH,Laconia,3.48,1.1375879396984903,1.6416666666666666,200,67.83
NH,Lebanon,3.16260162601626,2.0374423563907773,1.7222222222222223,123,91.76422764227642
NH,Manchester,3.9960000000000004,0.30098894472361787,1.7741935483870968,200,131.275
NH,Nashua,4.0035,0.3161183417085425,1.8,200,130.96
NH,Portsmouth,4.1,0.23216080402010042,1.9781021897810218,200,204.02
NH,Rochester,3.075141242937853,2.1819921674370835,1.5416666666666667,177,45.87005649717514
NJ,Camden,4.279,0.20759698492462314,2.291970802919708,200,560.335
NJ,Clifton,4.1739999999999995,0.18484824120603013,1.9391891891891893,200,258.79
NJ,Edison,4.146,0.14872763819095458,2.0965517241379312,200,296.075
NJ,Elizabeth,4.0455000000000005,0.29616055276381914,1.8951048951048952,200,161.125
NJ,Jersey City,4.205,0.14821608040201006,2.0671641791044775,200,290.785
NJ,Newark,4.046,0.36661708542713584,1.8432835820895523,200,176.14
NJ,Passaic,4.138999999999999,0.2835969849246228,1.802919708029197,200,156.055
NJ,Paterson,4.1835,0.24731432160804026,1.873134328358209,200,162.67
NJ,Trenton,4.1175,0.20547110552763828,1.7183098591549295,200,115.09
NJ,Union City,4.1635,0.18082185929648242,2.091549295774648,200,576.435
NM,Alamogordo,2.2852941176470587,2.8691875364007005,1.2291666666666667,102,45.35294117647059
